item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
1,1,185,3,139.72,1.99,410.8
2,1,466,1,78.67,12.3,68.99
3,2,326,1,181.94,15.41,153.91
4,2,27,3,262.58,13.32,682.84
5,2,18,2,540.65,2.08,1058.79
6,2,400,3,282.34,8.8,772.49
7,3,216,3,328.65,0.07,985.3
8,3,390,1,300.8,16.93,249.87
9,3,466,3,78.67,19.0,191.17
10,3,273,3,253.83,7.05,707.8
11,4,196,2,124.97,1.19,246.96
12,5,357,3,172.89,9.1,471.47
13,5,262,1,194.26,19.6,156.18
14,5,244,2,74.5,2.49,145.29
15,5,190,3,43.74,16.7,109.3
16,6,322,2,30.69,13.26,53.24
17,7,427,3,179.43,17.36,444.83
18,7,342,3,528.57,0.43,1578.83
19,8,215,3,284.51,8.94,777.22
20,8,317,2,62.23,6.63,116.21
21,8,302,2,33.87,11.08,60.23
22,8,496,2,232.37,7.86,428.22
23,8,80,3,340.54,1.62,1005.1
24,9,272,2,101.07,2.38,197.33
25,9,59,1,94.73,2.51,92.36
26,9,114,3,244.27,3.43,707.66
27,10,461,1,214.95,15.83,180.91
28,11,406,3,33.53,18.44,82.05
29,11,351,2,281.76,17.84,462.98
30,11,16,3,110.97,18.11,272.62
31,12,269,1,417.47,19.48,336.15
32,12,109,3,464.8,4.65,1329.62
33,12,116,3,135.71,19.76,326.68
34,12,477,3,256.1,10.79,685.42
35,12,183,2,223.07,2.08,436.88
36,13,267,2,193.12,8.31,354.14
37,14,172,1,248.16,3.01,240.7
38,15,174,1,24.15,14.89,20.55
39,15,433,1,196.2,11.94,172.77
40,15,186,1,133.29,9.87,120.14
41,15,221,1,222.61,7.73,205.4
42,16,33,2,520.85,5.22,987.34
43,16,428,2,117.84,17.07,195.45
44,16,464,3,73.91,8.85,202.12
45,16,291,3,340.79,6.13,959.69
46,17,332,1,233.42,16.08,195.88
47,17,485,2,36.17,13.87,62.31
48,17,36,1,73.97,19.54,59.52
49,17,114,3,244.27,2.5,714.48
50,18,31,1,139.09,19.49,111.98
51,18,487,3,155.47,18.22,381.45
52,18,205,1,201.81,6.97,187.75
53,18,368,3,279.94,6.6,784.4
54,19,12,1,88.09,11.07,78.34
55,19,460,2,280.11,17.84,460.27
56,19,255,3,327.41,1.36,968.83
57,19,69,2,241.47,8.9,439.95
58,19,267,1,193.12,8.85,176.03
59,20,65,3,314.08,8.09,865.97
60,20,372,3,52.69,1.32,155.98
61,20,477,1,256.1,0.32,255.28
62,21,309,1,155.18,15.05,131.82
63,21,497,2,373.72,4.47,714.02
64,21,263,3,193.6,13.05,504.99
65,22,98,1,195.07,4.33,186.62
66,22,191,1,283.86,4.8,270.25
67,23,117,1,288.29,5.91,271.25
68,23,484,2,226.17,16.93,375.77
69,23,231,2,156.81,13.34,271.79
70,23,17,3,123.87,3.98,356.83
71,23,157,2,229.97,19.32,371.09
72,24,184,1,366.64,6.77,341.81
73,24,155,3,40.51,19.75,97.52
74,24,33,3,520.85,9.25,1418.0
75,24,262,1,194.26,13.98,167.1
76,24,317,2,62.23,6.37,116.53
77,25,287,2,189.94,14.09,326.34
78,25,487,1,155.47,15.0,132.15
79,25,478,2,155.59,3.64,299.85
80,25,127,3,22.76,11.43,60.48
81,26,166,2,352.58,10.51,631.05
82,26,78,1,492.39,17.15,407.96
83,27,433,1,196.2,11.97,172.71
84,28,399,1,145.3,3.73,139.88
85,28,132,2,263.04,7.9,484.51
86,28,76,3,287.92,7.73,796.98
87,28,128,3,247.81,19.74,596.68
88,29,166,2,352.58,9.84,635.77
89,29,401,3,94.26,1.58,278.33
90,29,410,1,257.66,10.35,230.99
91,30,49,2,404.87,9.48,732.97
92,30,108,3,83.78,16.7,209.37
93,30,328,3,332.85,17.25,826.33
94,30,314,3,285.16,16.16,717.24
95,30,331,3,143.75,3.79,414.92
96,31,393,2,474.64,7.47,878.37
97,31,333,1,50.7,9.67,45.8
98,32,11,2,62.26,0.54,123.85
99,32,493,2,451.52,6.49,844.41
100,32,273,3,253.83,15.97,639.87
101,33,489,3,381.69,14.15,983.01
102,33,265,3,295.45,6.18,831.62
103,33,283,3,364.9,15.39,926.21
104,33,369,2,337.14,18.6,548.88
105,33,148,2,409.62,18.39,668.56
106,34,450,1,189.91,8.63,173.53
107,34,441,3,294.48,14.59,754.52
108,34,398,2,109.42,0.77,217.16
109,34,86,3,26.09,10.87,69.76
110,34,150,2,367.19,13.5,635.21
111,35,59,3,94.73,8.41,260.3
112,35,277,2,158.97,2.64,309.56
113,35,133,3,171.01,0.11,512.47
114,35,119,1,291.81,8.8,266.13
115,36,227,1,123.54,5.88,116.28
116,36,220,2,137.34,13.69,237.08
117,36,388,2,128.45,15.6,216.82
118,36,277,1,158.97,6.84,148.09
119,37,481,3,122.81,9.59,333.09
120,37,132,1,263.04,13.31,228.03
121,37,420,3,104.63,17.14,260.09
122,37,487,1,155.47,12.54,135.98
123,37,319,3,348.21,6.47,977.06
124,38,148,1,409.62,10.62,366.14
125,38,294,1,207.14,13.33,179.52
126,38,137,3,137.07,9.86,370.68
127,39,121,3,138.71,14.42,356.14
128,40,215,3,284.51,7.13,792.68
129,40,422,3,166.63,12.23,438.77
130,40,450,1,189.91,15.3,160.85
131,40,442,1,248.62,7.15,230.84
132,40,67,2,212.48,9.88,382.96
133,41,460,2,280.11,2.75,544.83
134,41,84,2,549.87,8.62,1004.89
135,41,114,3,244.27,1.0,725.51
136,41,439,3,94.47,5.96,266.52
137,42,148,1,409.62,12.28,359.33
138,42,229,3,283.05,18.27,694.01
139,43,50,1,21.72,10.81,19.37
140,44,327,1,48.53,15.28,41.11
141,44,142,2,280.07,14.91,476.62
142,44,224,3,95.74,13.77,247.67
143,44,99,1,144.6,16.64,120.54
144,44,152,1,82.42,6.29,77.23
145,45,268,1,264.67,2.29,258.61
146,45,339,1,81.77,18.83,66.37
147,45,12,3,88.09,12.09,232.32
148,45,294,3,207.14,14.06,534.03
149,45,141,1,277.52,12.52,242.77
150,46,364,1,482.0,8.47,441.19
151,46,316,2,219.48,2.26,429.06
152,47,271,3,183.3,15.98,462.04
153,48,104,1,190.73,9.76,172.11
154,49,416,2,183.54,2.93,356.34
155,50,12,1,88.09,14.27,75.52
156,50,500,1,127.25,16.8,105.87
157,50,374,1,343.35,4.68,327.29
158,50,19,2,213.02,6.19,399.67
159,51,206,1,213.18,12.18,187.22
160,51,343,1,106.45,2.81,103.45
161,51,315,3,86.08,7.59,238.63
162,51,447,1,175.52,1.03,173.72
163,51,82,3,439.61,8.39,1208.2
164,52,377,1,227.71,1.82,223.56
165,52,349,1,386.73,13.85,333.15
166,52,17,1,123.87,8.62,113.19
167,53,230,3,122.72,5.56,347.7
168,53,151,1,317.21,7.72,292.71
169,53,357,3,172.89,6.85,483.13
170,54,273,3,253.83,1.98,746.44
171,54,93,3,158.06,2.03,464.56
172,54,193,3,57.5,7.23,160.03
173,54,62,2,368.43,5.62,695.45
174,54,48,1,142.88,6.72,133.27
175,55,437,2,219.17,14.44,375.06
176,55,394,3,49.85,1.1,147.9
177,55,251,1,341.28,12.31,299.28
178,55,487,1,155.47,15.89,130.77
179,56,288,2,100.28,14.76,170.96
180,56,46,2,105.44,5.06,200.22
181,56,390,2,300.8,7.58,555.98
182,56,104,3,190.73,18.13,468.47
183,56,10,3,358.77,1.08,1064.71
184,57,414,2,181.58,4.42,347.11
185,57,55,3,237.99,13.24,619.44
186,57,405,1,378.27,7.48,349.97
187,57,4,1,296.01,19.94,236.98
188,57,463,1,265.49,8.53,242.83
189,58,304,1,250.63,9.93,225.75
190,58,444,2,154.23,9.45,279.32
191,59,271,3,183.3,16.64,458.38
192,59,462,2,180.45,8.82,329.06
193,60,349,1,386.73,18.21,316.31
194,60,401,3,94.26,12.8,246.59
195,60,457,1,453.32,14.38,388.14
196,61,150,3,367.19,5.05,1045.96
197,61,63,3,294.04,16.59,735.8
198,61,409,1,382.07,8.28,350.44
199,62,147,2,234.79,14.2,402.92
200,62,288,1,100.28,1.61,98.66
201,62,207,3,293.47,8.33,807.05
202,62,379,3,82.49,14.84,210.74
203,63,263,2,193.6,17.6,319.04
204,63,27,3,262.58,6.81,734.12
205,64,283,1,364.9,9.22,331.27
206,64,84,3,549.87,3.28,1595.43
207,64,262,1,194.26,11.51,171.89
208,64,86,1,26.09,14.06,22.42
209,65,165,2,327.71,16.47,547.47
210,66,290,2,286.41,1.59,563.7
211,66,428,2,117.84,19.39,189.99
212,66,456,3,96.53,10.64,258.76
213,67,45,1,35.26,6.01,33.14
214,68,444,1,154.23,6.71,143.87
215,68,370,2,189.06,2.41,369.03
216,68,120,2,417.34,1.51,822.04
217,68,469,2,387.95,4.7,739.42
218,68,215,3,284.51,6.74,795.99
219,69,141,1,277.52,5.51,262.24
220,69,135,1,123.37,5.2,116.95
221,69,111,1,332.63,10.83,296.62
222,69,95,1,162.7,4.94,154.66
223,69,133,2,171.01,18.37,279.2
224,70,15,3,190.07,3.99,547.44
225,70,200,3,216.03,16.92,538.45
226,70,164,2,46.14,18.22,75.46
227,70,125,2,206.88,16.36,346.05
228,70,269,1,417.47,18.78,339.09
229,71,176,1,368.89,6.43,345.18
230,72,197,1,107.66,0.92,106.67
231,72,181,3,369.79,12.39,971.91
232,72,314,3,285.16,11.42,757.77
233,72,215,2,284.51,17.39,470.06
234,73,457,2,453.32,1.86,889.78
235,74,468,1,168.99,14.23,144.95
236,74,171,3,259.2,2.05,761.63
237,74,439,1,94.47,19.07,76.45
238,74,473,1,209.11,8.37,191.61
239,75,208,3,290.8,18.07,714.8
240,75,94,2,83.89,2.48,163.62
241,75,129,3,222.36,14.35,571.37
