order_id,customer_id,order_date,order_status,shipping_method,payment_method,subtotal,tax_amount,shipping_cost,discount_amount,total_amount,shipping_address,order_priority
1,471,2024-09-05,Completed,Standard,PayPal,547.78,43.82,7.7,2.85,596.45,"Address 1, City, Country",Low
2,886,2024-10-23,Completed,Standard,PayPal,145.04,11.6,23.68,3.2,177.12,"Address 2, City, Country",Medium
3,1029,2024-10-29,Shipped,Overnight,Credit Card,689.02,55.12,16.77,30.8,730.11,"Address 3, City, Country",High
4,439,2025-06-17,Shipped,Overnight,Digital Wallet,189.37,15.15,21.82,5.54,220.8,"Address 4, City, Country",Medium
5,152,2025-01-12,Processing,Express,Digital Wallet,886.28,70.9,24.28,57.53,923.93,"Address 5, City, Country",Medium
6,1760,2024-09-07,Shipped,Economy,Digital Wallet,871.27,69.7,17.15,0.04,958.07,"Address 6, City, Country",Low
7,286,2024-12-05,Completed,Overnight,PayPal,648.75,51.9,13.84,81.57,632.93,"Address 7, City, Country",Medium
8,229,2025-01-13,Completed,Standard,Credit Card,482.19,38.58,19.96,27.16,513.56,"Address 8, City, Country",Urgent
9,1728,2025-04-07,Completed,Overnight,Digital Wallet,574.12,45.93,11.33,14.51,616.88,"Address 9, City, Country",Medium
10,455,2025-06-26,Processing,Economy,Digital Wallet,704.42,56.35,22.9,98.53,685.15,"Address 10, City, Country",Low
11,342,2025-02-23,Completed,Overnight,PayPal,738.72,59.1,5.31,42.75,760.38,"Address 11, City, Country",Low
12,1155,2024-09-08,Completed,Overnight,Credit Card,622.59,49.81,8.74,67.49,613.65,"Address 12, City, Country",Low
13,1649,2024-12-27,Completed,Overnight,Credit Card,493.93,39.51,8.51,13.94,528.02,"Address 13, City, Country",Medium
14,55,2025-03-26,Completed,Standard,Credit Card,690.06,55.21,19.58,95.3,669.55,"Address 14, City, Country",Low
15,1531,2024-12-07,Processing,Standard,PayPal,545.05,43.6,10.71,27.08,572.29,"Address 15, City, Country",Low
16,1505,2025-04-01,Completed,Express,PayPal,107.52,8.6,18.74,12.21,122.65,"Address 16, City, Country",Medium
17,377,2025-04-20,Returned,Economy,Credit Card,544.79,43.58,16.81,6.55,598.64,"Address 17, City, Country",High
18,1059,2024-12-05,Processing,Overnight,Credit Card,879.23,70.34,13.19,29.81,932.95,"Address 18, City, Country",High
19,1806,2024-07-15,Completed,Express,Bank Transfer,867.69,69.42,5.31,18.61,923.81,"Address 19, City, Country",Low
20,1763,2025-04-14,Completed,Economy,Credit Card,365.94,29.28,23.9,0.99,418.12,"Address 20, City, Country",Low
21,1701,2024-12-12,Cancelled,Overnight,Digital Wallet,78.9,6.31,18.46,12.88,90.79,"Address 21, City, Country",Low
22,1086,2024-08-29,Completed,Express,Credit Card,123.43,9.87,10.16,2.33,141.13,"Address 22, City, Country",Low
23,94,2025-03-23,Completed,Standard,Digital Wallet,461.71,36.94,14.18,89.53,423.29,"Address 23, City, Country",Medium
24,201,2025-01-08,Completed,Economy,Credit Card,521.29,41.7,14.22,73.86,503.36,"Address 24, City, Country",Medium
25,1444,2025-03-29,Shipped,Express,PayPal,737.8,59.02,16.3,69.09,744.03,"Address 25, City, Country",High
26,926,2024-07-23,Completed,Standard,Credit Card,387.57,31.01,10.13,20.65,408.05,"Address 26, City, Country",Low
27,1394,2024-07-31,Completed,Overnight,PayPal,960.81,76.86,10.54,167.83,880.39,"Address 27, City, Country",Low
28,210,2024-12-05,Completed,Overnight,Credit Card,647.2,51.78,22.16,71.31,649.82,"Address 28, City, Country",Urgent
29,1861,2024-12-29,Completed,Express,PayPal,880.67,70.45,16.97,121.49,846.6,"Address 29, City, Country",Low
30,644,2024-09-20,Returned,Economy,Digital Wallet,244.67,19.57,22.89,45.44,241.7,"Address 30, City, Country",Low
31,1306,2025-05-25,Cancelled,Express,Digital Wallet,888.96,71.12,14.32,37.14,937.26,"Address 31, City, Country",Low
32,1163,2024-12-16,Completed,Standard,Digital Wallet,142.7,11.42,5.8,21.5,138.42,"Address 32, City, Country",Low
33,1736,2025-02-27,Completed,Economy,Digital Wallet,458.09,36.65,15.68,87.52,422.89,"Address 33, City, Country",Medium
34,222,2024-08-16,Cancelled,Express,Digital Wallet,840.27,67.22,6.91,18.7,895.71,"Address 34, City, Country",Medium
